Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-05	河南省	许昌市	Henan	Xuchang	Hubei	Wuhan	0.12
2020-01-05	广西壮族自治区	桂林市	Guangxi	Guilin	Hubei	Wuhan	0.12
2020-01-05	江苏省	扬州市	Jiangsu	Yangzhou	Hubei	Wuhan	0.12
2020-01-05	吉林省	长春市	Jilin	Changchun	Hubei	Wuhan	0.12
2020-01-05	山东省	临沂市	Shandong	Linyi	Hubei	Wuhan	0.12
2020-01-05	河南省	新乡市	Henan	Xinxiang	Hubei	Wuhan	0.12
2020-01-05	河南省	商丘市	Henan	Shangqiu	Hubei	Wuhan	0.11
2020-01-05	江西省	宜春市	Jiangxi	Yichun	Hubei	Wuhan	0.11
2020-01-05	浙江省	绍兴市	Zhejiang	Shaoxing	Hubei	Wuhan	0.11
2020-01-05	海南省	海口市	Hainan	Haikou	Hubei	Wuhan	0.11
2020-01-05	黑龙江省	哈尔滨市	Heilongjiang	Harbin	Hubei	Wuhan	0.11
2020-01-05	河北省	邯郸市	Hebei	Handan	Hubei	Wuhan	0.11
2020-01-05	新疆维吾尔自治区	乌鲁木齐市	Xinjiang	Ürümqi	Hubei	Wuhan	0.11
2020-01-05	江西省	赣州市	Jiangxi	Ganzhou	Hubei	Wuhan	0.11
2020-01-05	河北省	保定市	Hebei	Baoding	Hubei	Wuhan	0.11
2020-01-05	湖南省	益阳市	Hunan	Yiyang	Hubei	Wuhan	0.1
2020-01-05	安徽省	芜湖市	Anhui	Wuhu	Hubei	Wuhan	0.09
2020-01-05	江西省	上饶市	Jiangxi	Shangrao	Hubei	Wuhan	0.09
2020-01-05	江苏省	镇江市	Jiangsu	Zhenjiang	Hubei	Wuhan	0.09
2020-01-05	江苏省	泰州市	Jiangsu	Taizhou	Hubei	Wuhan	0.09
2020-01-05	浙江省	湖州市	Zhejiang	Huzhou	Hubei	Wuhan	0.09
2020-01-05	山西省	太原市	Shanxi	Taiyuan	Hubei	Wuhan	0.08
2020-01-05	河南省	开封市	Henan	Kaifeng	Hubei	Wuhan	0.08
2020-01-05	山东省	菏泽市	Shandong	Heze	Hubei	Wuhan	0.08
2020-01-05	甘肃省	兰州市	Gansu	Lanzhou	Hubei	Wuhan	0.08
2020-01-05	江西省	吉安市	Jiangxi	Ji'an	Hubei	Wuhan	0.08
2020-01-05	河南省	安阳市	Henan	Anyang	Hubei	Wuhan	0.08
2020-01-05	广西壮族自治区	北海市	Guangxi	Beihai	Hubei	Wuhan	0.08
2020-01-06	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	12.46
2020-01-06	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	10.49
2020-01-06	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	7.16
2020-01-06	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	6.2
2020-01-06	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.89
2020-01-06	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	4.59
2020-01-06	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	3.14
2020-01-06	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.68
2020-01-06	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	2.57
2020-01-06	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.56
2020-01-06	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.22
2020-01-06	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	2.13
2020-01-06	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.83
2020-01-06	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	1.71
2020-01-06	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	1.44
2020-01-06	湖北省	十堰市	Hubei	Shiyan	Hubei	Wuhan	1.44
2020-01-06	河南省	信阳市	Henan	Xinyang	Hubei	Wuhan	1.42
