Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-05	福建省	泉州市	Hubei	Wuhan	Fujian	Quanzhou	0.14
2020-01-05	新疆维吾尔自治区	乌鲁木齐市	Hubei	Wuhan	Xinjiang	Ürümqi	0.14
2020-01-05	广东省	珠海市	Hubei	Wuhan	Guangdong	Zhuhai	0.14
2020-01-05	安徽省	芜湖市	Hubei	Wuhan	Anhui	Wuhu	0.14
2020-01-05	河南省	安阳市	Hubei	Wuhan	Henan	Anyang	0.13
2020-01-05	辽宁省	大连市	Hubei	Wuhan	Liaoning	Dalian	0.13
2020-01-05	河南省	许昌市	Hubei	Wuhan	Henan	Xuchang	0.13
2020-01-05	湖南省	湘潭市	Hubei	Wuhan	Hunan	Xiangtan	0.13
2020-01-05	浙江省	台州市	Hubei	Wuhan	Zhejiang	Taizhou	0.13
2020-01-05	辽宁省	沈阳市	Hubei	Wuhan	Liaoning	Shenyang	0.13
2020-01-05	江苏省	南通市	Hubei	Wuhan	Jiangsu	Nantong	0.12
2020-01-05	河南省	平顶山市	Hubei	Wuhan	Henan	Pingdingshan	0.12
2020-01-05	河北省	保定市	Hubei	Wuhan	Hebei	Baoding	0.12
2020-01-05	河南省	新乡市	Hubei	Wuhan	Henan	Xinxiang	0.12
2020-01-05	浙江省	嘉兴市	Hubei	Wuhan	Zhejiang	Jiaxing	0.12
2020-01-05	山东省	菏泽市	Hubei	Wuhan	Shandong	Heze	0.11
2020-01-05	湖南省	益阳市	Hubei	Wuhan	Hunan	Yiyang	0.11
2020-01-05	广西壮族自治区	桂林市	Hubei	Wuhan	Guangxi	Guilin	0.11
2020-01-05	广东省	中山市	Hubei	Wuhan	Guangdong	Zhongshan	0.11
2020-01-05	河北省	邢台市	Hubei	Wuhan	Hebei	Xingtai	0.11
2020-01-05	江西省	抚州市	Hubei	Wuhan	Jiangxi	Fuzhou	0.11
2020-01-05	江西省	吉安市	Hubei	Wuhan	Jiangxi	Ji'an	0.11
2020-01-05	湖南省	怀化市	Hubei	Wuhan	Hunan	Huaihua	0.11
2020-01-05	河南省	开封市	Hubei	Wuhan	Henan	Kaifeng	0.1
2020-01-05	广东省	惠州市	Hubei	Wuhan	Guangdong	Huizhou	0.1
